CountryName,MortalityYear,Gender,AgeGroupCode,ICD10,Deaths,Class,Zone
Brazil,2017,Male,21,J410,1,Bronchitis,SouthAmerica
Brazil,2017,Male,17,J40 ,1,Bronchitis,SouthAmerica
Brazil,2017,Male,16,J42 ,1,Bronchitis,SouthAmerica
Brazil,2017,Male,22,J418,1,Bronchitis,SouthAmerica
Brazil,2017,Male,20,J411,1,Bronchitis,SouthAmerica
Brazil,2017,Male,15,J42 ,1,Bronchitis,SouthAmerica
Brazil,2017,Male,23,J411,1,Bronchitis,SouthAmerica
Brazil,2017,Male,13,J42 ,1,Bronchitis,SouthAmerica
Brazil,2017,Male,12,J40 ,1,Bronchitis,SouthAmerica
Brazil,2017,Male,26,J410,1,Bronchitis,SouthAmerica
Brazil,2017,Male,5,J205,1,Bronchitis,SouthAmerica
Brazil,2017,Male,5,J206,1,Bronchitis,SouthAmerica
Brazil,2017,Male,28,J410,1,Bronchitis,SouthAmerica
Brazil,2017,Male,28,J418,1,Bronchitis,SouthAmerica
Brazil,2017,Male,10,J411,1,Bronchitis,SouthAmerica
Brazil,2017,Male,6,J209,1,Bronchitis,SouthAmerica
Brazil,2017,Male,8,J209,1,Bronchitis,SouthAmerica
Brazil,2017,Male,4,J208,1,Bronchitis,SouthAmerica
Mexico,2017,Male,9,J209,1,Bronchitis,CentralAmerica
Mexico,2017,Male,7,J42 ,1,Bronchitis,CentralAmerica
Mexico,2017,Male,10,J42 ,1,Bronchitis,CentralAmerica
Mexico,2017,Male,5,J42 ,1,Bronchitis,CentralAmerica
Mexico,2017,Male,11,J42 ,1,Bronchitis,CentralAmerica
Mexico,2017,Male,11,J209,1,Bronchitis,CentralAmerica
Mexico,2017,Male,12,J42 ,1,Bronchitis,CentralAmerica
Mexico,2017,Male,25,J418,1,Bronchitis,CentralAmerica
Mexico,2017,Male,14,J209,1,Bronchitis,CentralAmerica
Mexico,2017,Male,13,J42 ,1,Bronchitis,CentralAmerica
Mexico,2017,Male,13,J40 ,1,Bronchitis,CentralAmerica
Mexico,2017,Male,13,J209,1,Bronchitis,CentralAmerica
Mexico,2017,Male,15,J42 ,1,Bronchitis,CentralAmerica
